original	corrected	confidence
Rigotta	Hegota	high
Hekota	Hegota	high
Higota	Hegota	high
Augodas	Hegota	high
Glam Saddam	Glamsterdam	high
glum slam	Glamsterdam	high
Clamsterdam	Glamsterdam	high
Gloucester	Glamsterdam	high
GlancerGem	Glamsterdam	high
Fossil	FOCIL	high
fossil	FOCIL	high
VUBS	FOCIL	medium
verbs	VUBS	medium
VOPS	VUBS	medium
VUBs	VUBS	medium
UPS	VUBS	medium
Cortosis	Prysm	low
Etherex	ethrex	high
EPBS	ePBS	high
EAPs	SIPs	high
EAP	SIP	high
ERP	SIP	high
EAP58	EIP58	high
Keynancies	key nonces	medium
Keynote's	key nonces	medium
CKVM	zkVM	medium
Blockcloud	Block-Level	medium
Blockflow	Block-Level	medium
Block Club	Block-Level Access List	medium
PAL	BAL	medium
SilaAmsterdam	Glamsterdam	high
Hegarta	Hegota	high
Acdt	ACDT	high
ECDE	ACDE	high
ACVT	ACDT	high
MetaEEP	Meta SIP	medium
MetaEAP	Meta SIP	medium
MetaEP	Meta SIP	medium
SIP H2H2	SIP 8282	low
Glamstadam	Glamsterdam	high
